"id","country","age","gender","ses","religion","married","education","IGF01","IGF02","IGF03","IGF04","IGI01","IGI02","IGI03","IGI04","OGF01","OGF02","OGF03","OGF04","OGI01","OGI02","OGI03","OGI04","leadership01","leadership02","leadership03","leadership04","leadership05","leadership06","empathic_concern_01","empathic_concern_02","empathic_concern_03","perspective_taking_01","perspective_taking_02","perspective_taking_03","perspective_taking_04","history_discrimination","fight_outgroup","og_host_01","og_host_02","og_coop_01","og_coop_02","NegativeToPositive","HostileToFriendly","SuspiciousToTrusting","ContemptToRespect","ThreatenedToRelaxed","IGFusion","IGIdentification","OGFusion","OGIdentification"
"GMB1","Gambia",50,"Male",,,"Other","Other/unknown",6,7,2,3,6,6,6,6,6,6,6,6,6,5,5,5,6,6,7,6,7,7,6,6,5,6,6,6,6,6,2,2,2,6,2,7,7,7,7,7,4.5,4,6,6
"GMB2","Gambia",55,"Male","Middle","Muslim: Sunni","Married","High school or less",7,7,7,7,7,7,6,7,1,2,3,3,1,2,1,1,7,6,5,1,1,2,7,1,7,7,6,5,4,7,1,3,1,7,1,5,7,6,7,6,7,7,2.25,2.66666666666667
"GMB3","Gambia",35,"Male","Middle","Muslim: Sunni","Married","Diploma",7,,6,6,6,6,6,6,2,2,2,2,2,2,2,2,2,6,6,6,,6,6,6,6,6,6,6,5,2,4,2,2,6,2,5,5,5,7,7,,,2,2
"GMB4","Gambia",66,"Male","Upper","Muslim: Sunni","Married","Other/unknown",7,7,7,7,7,6,7,7,5,1,1,1,1,1,2,2,7,7,7,1,7,1,7,1,7,7,7,6,6,7,1,7,7,7,1,2,1,1,2,2,7,7,2,1
"GMB5","Gambia",31,"Male","Middle","Muslim: Sunni","Married","Bachelors",6,7,5,6,6,6,7,7,2,2,1,2,3,5,5,5,7,6,6,5,6,4,6,6,6,6,5,6,5,5,4,4,2,6,2,5,5,5,7,5,6,6,1.75,1.66666666666667
"GMB6","Gambia",24,"Female","Middle","Muslim: Sunni","Unmarried","Diploma",5,4,4,4,6,6,6,6,2,2,2,2,6,6,6,6,6,5,6,6,2,5,7,7,7,7,7,1,1,2,5,2,2,2,4,5,5,5,7,5,4.25,4,2,2
"GMB7","Gambia",27,"Female","Middle","Muslim: Sunni","Married","High school or less",7,6,4,4,6,7,6,6,4,2,2,4,3,2,2,2,6,2,6,6,6,6,6,6,1,2,2,2,2,3,5,3,3,3,2,3,3,3,3,2,5.25,4.66666666666667,3,2.66666666666667
"GMB8","Gambia",29,"Male","Upper middle","Muslim: Sunni","Married","Diploma",6,5,4,4,6,6,6,6,2,2,1,1,2,1,1,1,6,6,5,5,5,5,6,5,5,5,5,5,4,4,4,4,4,5,2,4,5,4,5,5,4.75,4.33333333333333,1.5,1.33333333333333
"GMB9","Gambia",30,"Male","Middle","Muslim: Sunni","Married","Diploma",6,5,4,3,6,6,6,6,2,2,2,2,2,2,2,2,6,6,6,5,5,5,7,6,6,6,6,6,5,5,4,2,2,6,1,5,5,5,5,4,4.5,4,2,2
"GMB10","Gambia",22,"Male","Middle","Muslim: Sunni","Unmarried","High school or less",6,6,5,5,6,6,6,6,2,2,2,2,2,2,2,2,6,6,5,5,5,5,6,7,5,5,5,5,5,2,3,2,3,5,2,5,5,5,4,5,5.5,5.33333333333333,2,2
