christians,lgbt,feminists,poor,welfare,conservs,liberals,unions,business,blacks
99,99,99,99,99,99,99,99,99,99
60,85,70,70,70,30,85,84,40,97
98,50,60,97,70,70,60,85,70,97
0,0,85,97,97,85,97,85,97,99
40,70,85,60,40,40,85,60,60,97
45,50,35,75,35,20,50,45,45,97
70,85,60,30,30,70,50,70,85,99
85,70,85,85,85,85,70,85,97,97
50,50,50,50,50,40,50,70,40,70
50,50,50,50,50,70,50,40,60,50
30,50,40,70,40,60,50,70,40,60
50,50,50,85,50,60,50,45,45,50
30,50,40,70,70,40,85,60,85,50
50,50,50,60,50,50,50,50,50,85
40,70,0,50,60,70,40,0,60,85
50,50,50,50,30,50,50,15,50,50
15,50,15,85,40,97,0,0,40,97
50,85,50,70,15,50,60,85,60,70
70,50,50,50,50,60,50,50,50,97
97,0,50,97,30,85,60,30,97,97
50,50,50,60,40,60,40,15,40,70
85,85,50,60,85,60,0,85,60,60
60,50,50,60,50,50,60,50,60,50
99,99,99,99,99,99,99,99,99,99
60,50,60,70,70,60,40,60,70,85
99,99,99,99,99,99,99,99,99,99
70,0,15,97,60,85,15,60,40,50
70,97,85,97,85,97,15,30,50,85
40,15,40,85,50,50,50,70,40,50
15,85,85,70,60,30,40,70,50,70
40,70,70,60,60,60,60,40,85,85
60,60,70,70,60,70,60,70,60,99
30,40,70,70,40,50,50,70,30,85
50,60,60,70,15,40,40,60,50,50
85,85,85,97,70,85,97,97,97,70
98,85,60,70,40,30,40,40,0,60
50,50,50,50,50,50,50,50,50,50
70,60,85,85,85,30,70,50,50,70
30,40,40,60,40,30,40,30,30,30
60,85,40,50,70,99,50,70,50,50
50,50,85,85,50,85,30,30,85,50
50,85,95,85,50,50,90,50,10,90
50,90,60,70,40,50,50,50,40,70
60,85,40,70,70,85,15,15,60,85
50,50,50,60,40,50,15,0,50,50
97,50,0,85,50,85,30,30,70,70
85,85,30,85,85,85,85,0,30,85
15,50,40,97,60,70,30,0,85,50
15,50,30,50,15,30,30,50,40,50
60,60,40,85,70,85,30,30,70,85
70,40,50,70,70,70,40,60,50,60
70,0,30,98,98,70,15,50,15,50
35,70,50,50,35,25,90,98,0,60
50,50,50,0,15,50,50,70,70,85
50,60,40,70,60,50,50,30,40,30
15,50,50,90,85,50,70,70,60,30
50,85,70,85,70,70,70,40,85,70
40,0,85,85,30,15,50,30,97,85
40,50,60,70,50,40,60,60,60,85
30,50,70,60,50,15,85,60,30,50
15,50,50,50,0,85,15,0,30,0
15,50,97,97,50,0,97,97,97,60
0,97,97,97,97,0,97,85,0,97
75,90,90,90,60,85,30,85,60,90
99,50,50,50,50,50,50,50,50,50
99,97,50,97,50,50,50,50,30,50
30,70,70,70,70,30,85,60,30,85
99,97,85,97,70,40,70,85,85,85
75,50,99,75,75,99,50,99,75,97
70,75,99,95,50,80,90,60,70,70
50,50,50,60,60,40,70,60,50,50
40,60,50,85,60,50,60,60,50,85
30,97,50,97,50,40,40,15,85,50
98,0,50,97,50,99,99,99,50,97
70,50,30,50,30,70,30,0,30,97
50,60,50,70,60,60,60,60,70,60
65,70,60,90,60,60,40,70,60,85
50,60,99,70,30,70,99,70,60,97
50,50,98,50,50,50,98,50,60,60
85,0,70,40,15,40,60,60,70,60
0,50,50,50,50,40,85,70,50,50
99,99,99,99,99,99,99,99,99,99
30,85,85,85,85,40,70,60,40,85
50,50,50,30,50,85,50,85,85,70
85,85,30,85,85,85,50,25,60,70
0,50,70,50,15,30,50,60,0,60
60,85,60,60,70,50,60,50,70,97
70,50,70,70,40,60,70,70,40,70
50,30,50,40,30,70,40,30,60,60
50,40,50,70,50,50,50,15,15,99
70,50,15,50,30,97,15,0,60,5
30,70,30,70,40,85,40,15,70,50
99,99,99,99,99,99,99,99,99,99
30,15,50,70,50,50,15,70,30,50
50,50,30,70,50,50,50,40,15,50
50,50,0,50,50,15,30,50,50,85
70,85,50,97,40,60,40,15,40,97
60,15,50,98,98,50,50,60,30,40
99,15,98,50,30,98,98,0,15,40
99,60,50,85,30,60,70,40,40,70
50,50,50,50,40,70,50,0,60,50
60,40,40,70,40,85,15,50,50,85
50,0,30,50,40,60,50,50,70,50
60,50,50,50,30,50,50,65,35,50
97,70,60,97,60,97,0,60,30,85
15,70,50,85,50,70,97,40,60,50
70,60,70,70,70,50,60,70,70,85
70,50,70,85,85,60,85,85,70,85
99,99,99,99,99,99,99,99,99,99
30,97,60,15,70,85,60,50,50,60
70,85,99,70,70,70,60,85,60,85
50,50,50,85,85,50,50,50,50,97
85,85,85,85,85,40,70,85,70,97
85,50,60,97,85,85,40,40,60,85
60,97,70,50,40,60,70,60,60,50
99,99,99,99,99,99,99,99,99,99
50,60,85,70,85,70,50,70,50,50
40,50,60,85,60,70,60,30,85,70
60,50,50,85,70,50,40,70,50,85
60,15,85,60,30,70,30,30,50,90
50,50,50,70,0,60,50,70,50,50
50,60,50,60,15,60,40,50,40,70
99,99,99,99,99,99,99,99,99,99
70,50,50,85,50,70,50,85,85,85
50,50,70,97,50,85,15,15,60,99
99,99,99,99,99,99,99,99,99,99
60,50,40,70,60,60,50,40,40,85
60,85,60,70,60,50,70,60,60,70
70,60,50,50,50,50,50,99,85,70
15,85,50,60,30,0,85,50,70,60
30,40,85,85,60,40,85,70,50,70
50,70,50,70,50,30,70,50,50,85
40,98,40,97,40,60,40,60,60,50
60,97,97,97,60,70,85,60,30,70
60,98,40,98,98,40,60,60,50,50
50,50,97,98,15,50,50,70,60,0
50,70,40,50,15,85,5,0,70,90
85,98,99,98,98,98,99,98,50,97
85,50,70,85,60,70,85,85,60,97
30,40,40,60,40,60,40,0,60,40
30,50,50,50,50,40,50,40,60,70
40,50,50,60,50,40,50,60,40,50
60,15,40,70,40,70,30,15,70,50
50,50,50,40,40,40,40,30,40,70
60,0,50,50,0,60,70,60,85,15
15,40,50,85,60,70,70,70,85,85
85,40,85,70,60,85,60,60,60,70
50,90,90,80,70,50,85,90,40,97
50,60,55,97,80,55,40,80,50,97
30,50,97,97,85,40,40,70,30,97
0,70,30,97,50,30,30,60,30,85
50,50,50,60,50,50,50,50,50,85
70,60,40,70,40,85,40,50,40,70
97,50,97,70,97,40,50,50,70,70
20,50,50,60,20,20,20,40,50,40
60,15,50,70,40,60,40,50,40,50
60,85,30,70,60,85,30,40,40,85
99,99,99,99,99,99,99,99,99,99
50,0,30,70,60,50,50,85,30,50
50,50,50,50,30,85,50,50,40,60
50,50,50,60,60,50,50,70,50,30
50,15,50,97,30,50,70,50,40,85
50,50,70,70,50,60,97,50,50,85
50,0,60,97,70,70,70,70,50,85
50,50,60,50,0,60,0,97,50,50
70,85,30,70,70,97,15,0,30,97
97,85,50,85,85,50,60,60,40,97
15,70,50,40,15,40,60,30,85,59
10,75,60,60,50,10,85,85,51,40
50,50,40,60,50,50,30,60,40,30
70,0,40,60,50,70,0,0,85,60
15,50,50,50,50,60,50,15,60,50
50,50,60,60,40,85,50,40,70,70
60,50,50,60,60,70,30,15,60,50
60,60,50,60,40,60,60,40,30,40
50,50,50,50,40,50,50,40,50,50
0,50,70,50,50,50,50,60,40,97
97,60,70,70,30,50,70,30,40,60
70,50,60,70,60,70,60,50,60,70
50,30,70,60,50,40,60,40,50,50
30,70,85,85,85,60,60,70,85,70
50,50,50,60,50,50,50,50,60,15
99,99,99,99,99,99,99,99,99,99
30,50,50,50,30,70,30,60,70,40
60,40,60,70,60,60,40,60,60,50
60,60,60,60,60,60,60,60,0,50
97,50,50,70,0,50,30,97,50,85
85,85,85,85,70,85,40,70,85,85
85,97,70,97,60,70,60,40,85,97
15,85,70,70,70,30,70,70,40,97
50,50,60,50,15,60,60,40,40,85
50,50,50,50,15,50,50,70,30,50
50,50,50,97,40,50,50,30,50,5
50,50,50,97,30,60,50,0,0,50
50,85,30,70,40,60,50,70,50,60
70,97,99,70,60,15,50,85,85,40
40,85,60,70,65,70,65,90,50,70
50,50,50,98,50,50,50,50,40,97
40,60,60,60,55,45,55,60,55,65
51,97,68,97,90,70,50,90,85,97
99,99,99,99,99,99,99,99,99,99
50,50,60,97,60,70,60,60,60,60
50,50,85,97,97,70,50,85,85,97
50,50,30,40,50,60,50,50,50,50
97,15,60,70,85,85,97,50,50,97
15,97,50,50,50,30,97,60,15,50
0,70,30,50,50,15,15,0,85,85
50,50,50,50,40,40,70,50,40,60
60,50,50,50,50,60,40,60,50,50
40,35,70,60,50,30,97,70,50,85
40,60,40,40,40,70,40,30,40,85
15,70,60,70,50,60,70,60,50,70
75,30,75,95,50,60,60,65,70,70
50,50,0,50,15,60,50,85,30,50
50,0,50,97,50,75,15,97,50,85
99,99,99,99,99,99,99,99,99,99
50,70,50,85,15,50,50,30,50,50
40,70,50,60,60,50,60,40,40,60
60,50,15,85,70,85,30,40,60,70
40,85,70,60,40,40,60,60,30,90
50,50,50,97,50,50,50,50,30,50
50,50,50,60,50,50,50,85,15,60
60,50,50,85,60,70,50,50,65,50
50,97,70,97,85,70,30,40,50,97
99,99,99,99,99,99,99,99,99,99
50,50,50,85,50,60,50,60,85,50
30,15,60,70,40,30,60,60,30,60
99,40,60,60,70,70,50,30,30,50
99,99,99,99,99,99,99,99,99,99
40,50,60,60,50,55,70,70,60,50
15,85,40,70,70,70,40,30,70,85
40,70,70,85,60,40,70,60,40,70
50,70,40,50,30,60,50,40,40,97
